text,label,source,language
"According to data published by the Department of Education, inflation figures indicators remained broadly stable over the last 83 months. Reported on day 28 by the newsroom desk.",1,synthetic,en
The Department of Education said in a statement that funding for the new tax rules programmes would increase by 91 percent this fiscal year. Reported on day 24 by the newsroom desk.,1,synthetic,en
BREAKING!!! Doctors are FURIOUS as this one weird trick about air quality levels destroys the Ministry of Health forever! Click here now!!! 73420 shares and counting!!!,0,synthetic,en
"The Election Commission released its quarterly report on the new tax rules, showing a 30 percent change compared with the previous quarter. Reported on day 6 by the newsroom desk.",1,synthetic,en
"Researchers at Reserve Bank published a peer-reviewed study on the national election in a leading journal, based on a sample of 82 thousand participants. Reported on day 10 by the newsroom desk.",1,synthetic,en
"According to data published by the Supreme Court, air quality levels indicators remained broadly stable over the last 95 months. Reported on day 26 by the newsroom desk.",1,synthetic,en
The Election Commission said in a statement that funding for the new tax rules programmes would increase by 48 percent this fiscal year. Reported on day 21 by the newsroom desk.,1,synthetic,en
You won't BELIEVE what the National Statistics Office is hiding about currency circulation. Share before they delete this!!! Click here now!!! 92905 shares and counting!!!,0,synthetic,en
EXPOSED: Election Commission insiders admit air quality levels was staged all along - 34 percent of people have no idea! Click here now!!! 43372 shares and counting!!!,0,synthetic,en
"According to data published by the Reserve Bank, school reopening indicators remained broadly stable over the last 29 months. Reported on day 24 by the newsroom desk.",1,synthetic,en
"URGENT WARNING: inflation figures will be BANNED by the World Health Organization next week. Wake up, people!!! Click here now!!! 19643 shares and counting!!!",0,synthetic,en
"The Election Commission released its quarterly report on vaccination coverage, showing a 53 percent change compared with the previous quarter. Reported on day 24 by the newsroom desk.",1,synthetic,en
Officials from the Election Commission confirmed on Tuesday that new guidance on air quality levels will take effect next month. Reported on day 19 by the newsroom desk.,1,synthetic,en
"According to data published by the National Statistics Office, public transport fares indicators remained broadly stable over the last 82 months. Reported on day 15 by the newsroom desk.",1,synthetic,en
SHOCKING: Secret Transport Authority documents PROVE that the national election is a total hoax - the media will NEVER tell you this!!! Click here now!!! 21181 shares and counting!!!,0,synthetic,en
BREAKING!!! Doctors are FURIOUS as this one weird trick about currency circulation destroys the Election Commission forever! Click here now!!! 45548 shares and counting!!!,0,synthetic,en
"URGENT WARNING: vaccination coverage will be BANNED by the Department of Education next week. Wake up, people!!! Click here now!!! 73692 shares and counting!!!",0,synthetic,en
"URGENT WARNING: air quality levels will be BANNED by the World Health Organization next week. Wake up, people!!! Click here now!!! 31021 shares and counting!!!",0,synthetic,en
EXPOSED: Transport Authority insiders admit the national election was staged all along - 78 percent of people have no idea! Click here now!!! 6224 shares and counting!!!,0,synthetic,en
"According to data published by the World Health Organization, vaccination coverage indicators remained broadly stable over the last 81 months. Reported on day 3 by the newsroom desk.",1,synthetic,en
EXPOSED: Reserve Bank insiders admit school reopening was staged all along - 10 percent of people have no idea! Click here now!!! 55377 shares and counting!!!,0,synthetic,en
